"ID","Reference_Name","Citation_Description"
"2027","Moffatt, N.M. and D.A. Thomson. 1978a.","Reciprocal hybridization between the California and Gulf of California grunions, Leuresthes tenuis and Leuresthes sardina. Fishery Bulletin 76(2):476-480."
"2028","Moffatt, N.M. and D.A. Thomson. 1978b.","Tidal influence on the evolution of egg size in the grunion (Leuresthes, Atherinidae). Environmental Biology of Fishes 3:267-273."
"2029","Monaco, M.E., R.L. Emmett, D.M. Nelson, and S.A. Hinton. 1990.","Distribution and abundance of fishes and invertebrates in west coast estuaries, Volume I: Data summaries. ELMR Report No. 4. NOAA/NOS Strategic Environmental Assessments Division. Silver Spring, Maryland, 232 p."
"2030","Montgomery, W.L. 1977.","Diet and gut morphology in fishes, with special reference to the monkeyface prickleback, Cebidichthys violaceus (Stichaeidae: Blennioidei). Copeia 1977(1):178-182."
"2031","Moravec, F. and T.E. McDonald. 1981.","Capillaria margolisi sp.nov. (Nematoda: Capillariidae) from a marine fish, Scorpaenichthys marmoratus (Ayres), from the west coast of Canada. Canadian Journal of Zoology 59:88-91."
"2032","Morejohn, G.V., J.T. Harvey, and L.T. Krasnow. 1978.","The importance of Loligo opalescens in the food web of marine vertebrates in Monterey Bay, California. In: C.W. Recksiek and H.W. Frey (Editors), Biological, oceanographic, and acoustic aspects of the market squid, Loligo opalescens Berry. California Department of Fish and Game, Fish Bulletin No. 169:67-98."
"2033","Moreno, G. 1990.","Description of the larval stages of five northern California species of rockfishes (Family Scorpaenidae) from rearing studies. M.S. Thesis, California State University Stanislaus. 69 p."
"2034","Moreno, G. 1993.","Description of early larvae of four northern California species of rockfishes (Scorpaenidae: Sebastes) from rearing studies. NOAA Technical Report NMFS 116, 18 p."
"2035","Morgan 1961","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"2036","Morris, R. 1956a.","Some aspects of the problem of rearing marine fishes. Bulletin de l'Institut Oceanographique No. 1082:1-60."
"2037","Morris, R.W. 1956b.","Early larvae of four species of rockfish, Sebastodes. California Department of Fish and Game 42(2):149-153."
"2038","Moser, H.G. and G.W. Boehlert. 1991.","Ecology of pelagic larvae and juveniles of the genus Sebastes. Environmental Biology of Fishes 30:203-224."
"2039","Moser, H.G. and J.L. Butler. 1981.","Description of reared larvae and early juveniles of the calico rockfish, Sebastes dallii. California Cooperative Oceanic Fisheries Investigations Reports 22:88-95."
"2040","Moser, H.G. and T. Pommeranz. 1999.","Vertical distribution of eggs and larvae of northern anchovy, Engraulis mordax, and of the larvae of associated fishes at two sites in the Southern California Bight. Fishery Bulletin 97(4):920-943."
"2041","Moser, H.G. 1967.","Reproduction and development of Sebastodes paucispinis and comparison with other rockfishes off southern California. Copeia 1967(4):773-797."
"2042","Moser, H.G. 1974.","Development and distribution of larvae and juveniles of Sebastolobus (Pices; family Scorpaenidae). Fishery Bulletin 72(4):865-884."
"2043","Moser, H.G. (Editor). 1996a.","The early stages of fishes in the California Current region. California Cooperative Oceanic Fisheries Investigations, Atlas No. 33. Allen Press, Inc., Lawrence, Kansas. 1505 p."
"2044","Moser, H.G. 1996b.","Sciaenidae: Croakers and drums. In: H.G. Moser (Editor), The early lifestages of fishes in the California current region, California Cooperative Oceanic Fisheries Investigations, Atlas No. 33. p 1017-1033. Allen Press, Inc., Lawrence, Kansas."
"2045","Moser, H.G. 1996c.","Scorpaenidae: scorpionfishes and rockfishes. In: H.G. Moser (Editor), The early stages of fishes in the California Current region, California Cooperative Oceanic Fisheries Investigations, Atlas No. 33, p 733-795. Allen Press, Inc., Lawrence, Kansas."
"2046","Moser, H.G. and T. Pommeranz. 1998.","Vertical distribution of eggs and larvae of northern anchovy, Engraulis mordax, and of the larvae of two associated fishes at two sites in the Southern California Bight. Fishery Bulletin 97(4):920-943."
"2047","Moser, H.G. and W. Watson. 1990.","Distribution and abundance of early life history stages of the California halibut, Paralichthys californicus, and comparison with the fantail sole, Xystreurys liolepis. California Department of Fish and Game 174:31-84."
"2048","Moser, H.G., B.Y. Sumida, D.A. Ambrose, E.M. Sandknop, and E.G. Stevens. 1986.","Development and distribution of larvae and pelagic juveniles of ocean whitefish, Caulolatilus princeps, in the CalCOFI survey region. California Cooperative Oceanic Fisheries Investigations Reports 27:162-169."
"2049","Moser, H.G., E.H. Ahlstrom, and E.M. Sandknop. 1977.","Guide to the identification of scorpionfish larvae (family Scorpaenidae)in the Eastern Pacific with comparative notes on species of Sebastes and Helicolenus from other oceans. NOAA Technical Report NMFS Circular No. 402. 71 p."
"2050","Moser, H.G., D.A. Ambrose, M.S. Busby, J.L. Butler, E.M. Sandknop, B.Y. Sumida, and E.G. Stevens. 1983.","Description of early stages of white seabass, Atractoscion nobilis, with notes on distribution. California Cooperative Oceanic Fisheries Investigations Reports 24:182-193."
"2051","Moser pers com.","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"2052","Moulton, L.L. 1970.","The 1970 longfin smelt spawning run in Lake Washington with notes on egg development and changes in the population since 1964. M.S. Thesis, University of Washington. 84 p."
"2053","Moulton, L.L. 1974.","Abundance, growth, and spawning of the longfin smelt in Lake Washington. Transactions of the American Fishery Society 1:46-52."
"2054","Moulton, L.L. 1977.","An ecological analysis of fishes inhabiting the rocky nearshore regions of northern Puget Sound, Washington. Ph.D. Thesis. University of Washington. 182 p."
"2055","Moyle, P.B. 1976.","Inland Fishes of California. University of California Press, Berkeley, California. 402 p."
"2056","Moyle, P.B. 1992.","Smelt. In: W.S. Leet, C.M. Dewees, and C.W. Haugen (Editors), California's Living Marine Resources and Their Utilization, p 75-78. California Sea Grant Extension Program, Department of Wildlife and Fisheries Biology, University of California, Davis, California Sea Grant Extension Publication UCSGEP-92-12."
"2057","Moyle 1996","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"2058","Munk, K.M. 2000.","Investigation of sex-specific otolith age-reading error in lingcod (Ophiodon elongatus). Abstract 11th Western Groundfish Conference, April 24-28, 2000, Sitka, Alaska, p. 103."
"2059","Murie, D.J. 1994.","Comparative allometric growth of the gastrointestinal tract of two sympatric congeners, copper rockfish (Sebastes caurinus) and quillback rockfish (S. maliger). Journal of Fish Biology 44:597-605."
"2060","Murie, D.J. 1995.","Comparative feeding ecology of two sympatric rockfish congeners, Sebastes caurinus (copper rockfish) and S. Maliger (quillback rockfish). Marine Biology 124:341-353."
"2061","Murie, D.J., D.C. Parkyn, B.G. Clapp, and G.G. Krause. 1994.","Observations of the distribution and activities of rockfih, Sebastes spp., in Saanich Inlet, British Columbia, from the Pisces IV submersible. Fishery Bulletin 92(2):313-323."
"2062","Myers, M.S., C.M. Stehr, O.P. Olson, L.L. Johnson, B.B. McCain, S.-L. Chan, and U. Varanasi. 1994.","Relationship between toxicopathic hepatic lesions and exposure to chemical contaminants in English sole (Pleuronectes vetulus), starry flounder (Platichthys stellatus), and white croaker (Genyonemus lineatus) from selected marine sites on the Pacific Coast, USA. Environmental Health Perspectives 102(2):200-215."
"2063","Nammack, M.F., J.A. Musick, and J.A. Colvocoresses. 1985.","Life history of spiny dogfish off the northeastern United States. Transactions of the American Fishery Society 114:367-376."
"2064","Natanson, L.J. 1984.","Aspects of the age, growth, and reproduction of the Pacific angel shark, Squatina californica, off Santa Barbara, California. M.A. Thesis, San Jose State University. 71 p."
"2065","Natanson, L.J. and G.M. Cailliet. 1990.","Vertebral growth zone deposition in Pacific angel sharks. Copeia 1990(4):1133-1145."
"2066","Neal, T.J. 1993.","A test of the function of juvenile color patterns in the pomacentrid fish Hypsypops rubicundus (Teleostei: Pomacentridae). Pacific Science 47(3):240-247."
"2067","Neighbors, M.A. and M.H. Horn. 1991.","Nutritional quality of macrophytes eaten and not eaten by two temperate-zone herbivorous fishes: a multivariate comparison. Marine Biology 108:471-476."
"2068","Nelson, B.V. and R.R. Vance. 1979.","Diel foraging patterns of the sea urchin Centrostephanus coronatus as a predator avoidance strategy. Marine Biology 51:251-258."
"2069","Nelson, D.R. and R.H. Johnson. 1970.","Diel activity rhythms in the nocturnal, bottom-dwelling sharks, Heterodontus francisci and Cephaloscyllium ventriosum. Copeia 1970(4):732-739."
"2070","Nishimoto, M.M. 2000.","Distributions of late-larval and pelagic juvenile rockfishes on relation to water masses around the Santa Barbara Channel Islands in early summer, 1996. Proceedings of the Fifth California Islands Symposium, p 483-491."
"2071","Norcross, B.L., F. Muter, and B.A. Holladay. 1995.","Habitat models for juvenile plueronectids around Kodiak Island, Alaska, USA. Proceedings of the International Symposium on North Pacific Flatfish. Alaska Sea Grant College Program, Fairbanks, Alaska. p 50-67."
"2072","Norcross, B.L., A. Blanchard, and B.A. Holladay. 1999.","Comparison of models for defining nearshore flatfish nursery areas in Alaskan waters. Fisheries Oceanography 8(1):50-67."
"2073","Norris, K.S. 1963.","The functions of temperature in the ecology of the percoid fish Girella nigricans (Ayres). Ecological Monographs 33(1):23-62."
"2074","Norwell, S.E. 1994.","Observations of the mating behavior and dentition of the round stingray, Urolphus halleri. Environmental Biology of Fishes 39:219-229."
"2075","O'Brien, J.W. and C.F. Valle. In Press (2000).","Food habits of California corbina in southern California. California Department of Fish and Game 85(4)."
"2076","O'Connell, V.M., F.C. Funk, and B.R. Melteff. 1986.","Age and growth of yelloweye rockfish (Sebastes ruberrimus ) landed in southeastern Alaska. In: Proceedings of the International Rockfish Symposium, Lowell Wakefield Fisheries Symposium, Anchorage, Alaska, USA, October 20-22, 1986. Alaska Sea Grant Report, No. 87-2, p. 171-185."
"2077","O'Connell, V. and D.W. Carlisle. 1993.","Habitat-specific density of adult yelloweye rockfish Sebastes ruberrimusin the eastern Gulf of Alaska. Fishery Bulletin 91(2):304-309."
"2078","O'Connell, C.P. 1953.","The life history of the cabezon Scorpaenichthys marmoratus (Ayres). California Department of Fish and Game, Fish Bulletin No. 93, 76 p."
"2079","O'Connell, V.M. 1987.","Reproductive seasons for some Sebastes species in southeastern Alaska. Alaska Department of Fish and Game. Informational Leaflet No. 263, 21 p."
"2080","O'Connell, V.M. 1993.","Submersible observations on lingcod, Ophiodon elongatus, nesting below 30 m off Sitka, Alaska. Marine Fisheries Review 55(1):19-24."
"2081","O'Connell, V.M., D.A. Gordon, A. Hoffman, and K. Hepler. 1992.","Northern range extension of the vermillion rockfish (Sebastes miniatus). California Department of Fish and Game 78(4):173."
"2082","Oda, D.L., R.J. Lavenberg, and J.M. Rounds. 1993.","Reproductive biology of three California species of Paralabrax (Pisces: Serranidae). California Cooperative Oceanic Fisheries Investigations Reports 34:122-132."
"2083","Odenweller, D.B. 1971.","The life history of the shiner perch, Cymatogaster aggregata Gibbons, in Anaheim Bay, California. M.A. Thesis, California State University Long Beach. 66 p."
"2084","Odenweller, D.B. 1975.","The life history of the shiner surfperch Cymatogaster aggregata Gibbons, in Anaheim Bay, California. In: E.D. Lane and C.W. Hill (Editors), The marine resources of Anaheim Bay. California Department of Fish and Game, Fish Bulletin 165:107-115."
"2085","Odum, W.E. 1973.","Utilization of the direct grazing and plant detritus food chains by the striped mullet Mugil cephalus. In: J.H. Steele (Editor), Marine Food Chains, p 222-240. Oliver and Boyd, Edinburgh."
"2086","Odum, W.E. 1968.","The ecological significance of fine particle selection by the striped mullet Mugil cephalus. Limnology and Oceanography 13:92-98."
"2087","Olesiuk, P.F., M.A. Bigg, G.M. Ellis, S.J. Crockford, and R.J. Wigen. 1990.","An assessment of the feeding habits of harbour seals (Phoca vitulina) in the Strait of Georgia, British Columbia, based on scat analysis. Canadian Technical Report of Fisheries and Aquatic Sciences, No. 1730, 135 p."
"2088","Oliphant, M.S. 1992a.","California corbina. In: W.S. Leet, C.M. Dewees, and C.W. Haugen (Editors), California's living marine resources and their utilization, p 168. California Sea Grant Extension Program, Department of Wildlife and Fisheries Biology, University of California, Davis, California Sea Grant Extension Publication UCSGEP-92-12."
"2089","Oliphant, M.S. 1992b.","Spotfin and yellowfin croaker. In: W.S. Leet, C.M. Dewees, and C.W. Haugen (Editors), California's living marine resources and their utilization, p 168-170. California Sea Grant Extension Program, Department of Wildlife and Fisheries Biology, University of California, Davis, California Sea Grant Extension Publication UCSGEP-92-12."
